can,可以
the company,公司
China,中国
United States,美国
get on,进行
problem,问题
jobs,工作
the study,研究
country,国家
may,可能
need,需要
No,没有
think,认为
Said,表示
economic,经济
time,时间
Start,开始
people,人们
just now,现在
development of,发展
provide,提供
government,政府
method,方法
time,时候
use,使用
Find,发现
influences,影响
life,生活
become,成为
know,知道
project,项目
include,包括
world,世界
hope,希望
plan,计划
president,总统
Currently,目前
have to,必须
were able,能够
analysis,分析
Angola,安哥拉
occur,发生
Happening,情况
should,应该
aspect,方面
increase,增长
Brazil,巴西
the way,方式
child,孩子
organization,组织
help,帮助
get,得到
student,学生
obtain,获得
area,地区
investment,投资
technology,技术
among them,其中
Mozambique,莫桑比克
appear,出现
thing,事情
system,系统
stand by,支持
select,选择
relationship,关系
activity,活动
Claim,要求
see,看到
this year,今年
From,来自
International,国际
process,过程
tell,告诉
society,社会
design,设计
like,喜欢
Decided,决定
One hundred million U.S. dollars,亿美元
local,地方
put forward,提出
thing,东西
have,具有
information,信息
United Kingdom,英国
exist,存在
improve,提高
display,显示
product,产品
A,一种
have,拥有
data,数据
increase,增加
same,一样
ability,能力
the reason,原因
aims,目标
enterprise,企业
past,过去
Obama,奥巴马
produce,生产
important,重要
friend,朋友
accept,接受
produce,产生
set up,建立
result,结果
achieve,实现
carry on,继续
control,控制
Portugal,葡萄牙
one,之一
the University,大学
use,利用
survey,调查
stand up,起来
effect,作用
resulting in,导致
behavior,行为
change,改变
achieve,达到
Safety,安全
oil,石油
global,全球
feel,感到
bank,银行
female,女性
recent,最近
management,管理
This article,本文
service,服务
use,采用
city,城市
feel,觉得
surroundings,环境
carry out,完成
Learn,学习
ready,准备
deal with,处理
report,报告
participate,参加
Cooperation,合作
purpose,目的
last year,去年
future,未来
protocol,协议
enter,进入
application,应用
bring,带来
personnel,人员
Reported,报道
One,一家
Received,受到
culture,文化
opportunity,机会
Cause,造成
which performed,表现
exceed,超过
education,教育
political,政治
Japan Electricity,日电
maintain,保持
Japan,日本
Officer,官员
solve,解决
cut back,减少
To understanding,了解
The internet,网络
show,表明
Suggest,建议
consider,考虑
Hold,举行
success,成功
Europe,欧洲
website,网站
meeting,会议
Pointed out,指出
Russia,俄罗斯
treatment,治疗
center,中心
will not,不会
structure,结构
theory,理论
End,结束
Humanity,人类
mechanism,机构
Construction,建设
movement,运动
Africa,非洲
the film,电影
Want,想要
turn up,找到
Employee,员工
Variety,变化
value,价值
Macao,澳门
group,集团
India,印度
history,历史
SCHOOL,学校
Ten thousand U.S. dollars,万美元
discuss,讨论
Used,用于
feel,感觉
come out,出来
car,汽车
condition,条件
market,市场
Believe,相信
Become,变得
Nowadays,今天
action,行动
user,用户
basis,基础
pressure,压力
policy,政策
field,领域
factor,因素
other people,别人
protection,保护
different,不同
representative,代表
Beijing,北京
hour,小时
Level,水平
period,期间
family,家庭
model,模型
health,健康
Introduction,介绍
attention,关注
reduce,降低
Work hard,努力
Make,做出
content,内容
price,价格
event,事件
personal,个人
century,世纪
Various,各种
Features,功能
Language,语言
then,当时
whether,是否
legal,法律
form,形成
This,这种
experience,经历
Explanation,解释
expert,专家
equipment,设备
significance,意义
body,身体
expression,表达
Announced,宣布
determine,确定
go away,离开
degree,程度
worry,担心
income,收入
Cape Verde,佛得角
people,人民
funds,资金
cause,引起
Talent,才能
lie in,位于
demand,需求
food,食物
As,作为
standard,标准
experiment,实验
Facing,面临
Measures,措施
election,选举
the man,男人
note,注意
take,采取
effect,效果
Israel,以色列
willing,愿意
Resources,资源
business,业务
task,任务
game,比赛
Mr,先生
Posted,发表
France,法国
local,当地
by,通过
Iraq,伊拉克
parents,父母
participate,参与
leader,领导人
Expected,预计
photo,照片
decline,下降
Development,开发
animal,动物
attempt,试图
death,死亡
test,测试
aircraft,飞机
Get,取得
reaction,反应
story,故事
news,新闻
Make,使得
life,生命
cell,细胞
My country,我国
awareness,意识
patient,患者
will,将会
status,状态
Quantity,数量
access,访问
mode,模式
idea,想法
client,客户
Committee,委员会
buy,购买
range,范围
Guarantee,保证
prove,证明
member,成员
person,人士
Join,加入
Attack,袭击
Calculate,计算
media,媒体
risk,风险
United Nations,联合国
understanding,理解
Asia,亚洲
Sales,销售
Phone,手机
quality,质量
promote,促进
continued,持续
View,观点
attract,吸引
woman,女人
contact,联系
Observed,观察
test,试验
game,游戏
section,部分
Because of,是因为
Look for,寻找
business,商业
space,空间
create,创造
challenge,挑战
improve,改善
sign,签署
mean,意味着
digital,数字
Program,方案
war,战争
loan,贷款
reporter,记者
meaning,意思
The country,该国
allow,允许
professor,教授
Put on,放在
It is,令人
reform,改革
recognition,承认
release,发布
Implementation,实施
now,如今
speed,速度
experience,经验
crisis,危机
industry,行业
avoid,避免
domestic,国内
Discussion,探讨
transaction,交易
profession,专业
Provisions,规定
form,形式
music,音乐
Be responsible for,负责
spirit,精神
trading,贸易
mother,母亲
One,一项
make sure,确保
Doctors,医生
phenomenon,现象
simple,简单
stable,稳定
system,制度
Oppose,反对
child,儿童
biological,生物
Maputo,马普托
Iran,伊朗
At,处于
disease,疾病
team,团队
understanding,认识
English,英语
material,材料
male,男性
Description,说明
Said,说道
in conclusion,结论
period,时期
description,描述
Look,看看
Age,年代
composition,组成
power,力量
Luanda,罗安达
Germany,德国
Korea,韩国
manufacture,制造
Set up,成立
Body,身上
food,食品
Afghanistan,阿富汗
London,伦敦
the scientist,科学家
Combined,结合
Pakistan,巴基斯坦
feature,特征
recording,记录
assistance,援助
news,消息
army,军队
father,父亲
free,自由
Threats,威胁
error,错误
sound,声音
adhere to,坚持
office,办公室
EU,欧盟
Export,出口
Is,在于
thought,思想
strengthen,加强
Prime Minister,总理
boss,老板
file,文件
area,区域
nearby,附近
Features,特点
Satisfy,满足
consumer,消费者
difficult,困难
win,赢得
brain,大脑
population,人口
stage,阶段
industry,工业
try,尝试
article,文章
candidate,候选人
Announced,公布
The results show,结果表明
software,软件
restore,恢复
art,艺术
become,变成
position,位置
apple,苹果
Refuse,拒绝
program,节目
tourism,旅游
compared to,相比
Bush,布什
science,科学
supplement,补充
lose,失去
rise,上升
committed to,承诺
leadership,领导
limit,限制
course,课程
Character,角色
first name,名字
computer,电脑
Production,制作
building,建筑
works,作品
competition,竞争
airport,机场
era,时代
new York,纽约
Pay,支付
agree,同意
failure,失败
Detection,检测
engineering,工程
One,一件
colleague,同事
prediction,预测
have,有着
Heard,听到
carried out,执行
face,面对
investor,投资者
Hong Kong,香港
Shares,股份
West,西方
Used to,用来
effective,有效
agriculture,农业
fact,事实
negotiation,谈判
A,一场
Business,经营
direction,方向
Hotel,酒店
attitude,态度
young people,年轻人
South Africa,南非
gene,基因
program,程序
One,一条
know how,知识
clear,清楚
an examination,检查
magazine,杂志
Danger,危险
status,地位
spokesman,发言人
department,部门
lack of,缺乏
system,体系
Australia,澳大利亚
Chairman,主席
Washington,华盛顿
Approved,批准
strategy,战略
Reply,回答
statement,声明
video,视频
Method,办法
content,含量
Back,回到
Shanghai,上海
mobile,移动
give up,放弃
difference,差异
Object,对象
run,运行
Evaluation,评估
Author,作者
full,充满
should,应当
performance,性能
Called,称为
cost,费用
Types of,类型
clothes,衣服
enjoy,享受
phone,电话
Sitting,坐在
advertising,广告
Show,展示
tool,工具
such,这样
travel,旅行
Trigger,引发
Carry out,开展
debt,债务
President Bush,布什总统
interest,利益
around,周围
Dr.,博士
son,儿子
Syria,叙利亚
mood,情绪
Can not,不能
natural,自然
Reached,达成
Encounter,遇到
Social,社交
stop,停止
conflict,冲突
Tourists,游客
Evaluation,评价
situation,状况
Made,作出
Election,竞选
association,协会
use,运用
attack,攻击
at night,晚上
belong,属于
Policemen,警察
necessary,必要
Women,妇女
promote,推动
here,此间
North Korea,北韩
girl,女孩
Brand,品牌
Occupation,职业
week,星期
Suitable for,适合
right,权利
vote,投票
wife,妻子
Interview,采访
I will,我会
Foreign,外国
energy,能源
seek,寻求
temperature,温度
Down,下来
start up,启动
responsibility,责任
Congress,国会
arrangement,安排
TV,电视
One,一位
molecular,分子
Innovation,创新
contract,合同
damage,破坏
inside,里面
encourage,鼓励
in principle,原则
Democrats,民主党
Italy,意大利
signal,信号
age,年龄
habit,习惯
serious,严重
mechanism,机制
mom,妈妈
criticism,批评
share it,分享
hospital,医院
capital,首都
financial,金融
reason,理由
Technology,科技
month,月份
airline,航空公司
factory,工厂
training,训练
internal,内部
Make,制定
distributed,分布
land,土地
characteristic,特性
other people,其他人
operating,操作
sell,出售
One,一名
contact,接触
Given,给出
issue,发出
Adjustment,调整
communicate with,交流
John,约翰
Advantage,优势
commodity,商品
patient,病人
eye,眼睛
Republican,共和党
worldwide,全世界
read,阅读
the following,下面
concentrated,集中
public,公众
trend,趋势
drug,药物
Strategy,策略
Help,有助于
Purpose,旨在
Online,网上
senator,参议员
happy,快乐
current,当前
understand,明白
film,影片
caveat,警告
on Tuesday,周二
to cultivate,培养
concept,概念
Emphasize,强调
evidence,证据
worth it,值得
Above,上面
Application,申请
Thinking,思考
room,房间
come,来到
proportion,比例
maintain,维持
stimulate,刺激
angle,角度
estimate,估计
democracy,民主
husband,丈夫
Two kinds,两种
expand,扩大
reality,现实
easy,容易
before,以前
Spain,西班牙
Acquisition,收购
the Internet,互联网
theme,主题
platform,平台
Clinton,克林顿
family,家人
that power,权力
Involved,涉及
Number of people,人数
voter,选民
dream,梦想
worker,工人
means,手段
Close to,接近
connection,连接
authorities,当局
interest,兴趣
house,房子
colour,颜色
budget,预算
plant,植物
response,应对
scale,规模
Have something,有所
energy,能量
substance,物质
reflect,反映
